utc_timestamp,DE_KN_residential3_circulation_pump,DE_KN_residential3_dishwasher,DE_KN_residential3_freezer,DE_KN_residential3_grid_export,DE_KN_residential3_grid_import,DE_KN_residential3_pv,DE_KN_residential3_refrigerator,DE_KN_residential3_washing_machine
2014-12-24T11:00:00Z,21.857,13.228,8.935,,,,2.347,9.295
2014-12-24T12:00:00Z,21.923,13.231,8.977,,,,2.372,9.295
2014-12-24T13:00:00Z,22.014,13.234,8.979,,,,2.377,9.295
2014-12-24T14:00:00Z,22.087,13.236,9.022,,,,2.398,9.295
2014-12-24T15:00:00Z,22.159,13.239,9.065,,,,2.418,9.295
2014-12-24T16:00:00Z,22.225,13.241,9.067,,,,2.423,9.295
2014-12-24T17:00:00Z,22.292,13.243,9.109,,,,2.449,9.295
2014-12-24T18:00:00Z,22.358,13.246,9.152,,,,2.453,9.295
2014-12-24T19:00:00Z,22.424,13.248,9.154,,,,2.474,9.295
2014-12-24T20:00:00Z,22.491,13.251,9.197,,,,2.493,9.295
2014-12-24T21:00:00Z,22.557,13.254,9.24,,,,2.5,9.295
2014-12-24T22:00:00Z,22.624,13.256,9.242,,,,2.525,9.295
2014-12-24T23:00:00Z,22.69,13.259,9.285,,,,2.526,9.295
2014-12-25T00:00:00Z,22.761,13.261,9.328,,,,2.55,9.295
2014-12-25T01:00:00Z,22.828,13.264,9.332,,,,2.566,9.295
2014-12-25T02:00:00Z,22.901,13.267,9.373,,,,2.576,9.295
2014-12-25T03:00:00Z,22.968,13.269,9.415,,,,2.601,9.295
2014-12-25T04:00:00Z,23.035,13.272,9.421,,,,2.602,9.295
2014-12-25T05:00:00Z,23.102,13.274,9.46,,,,2.627,9.295
2014-12-25T06:00:00Z,23.169,13.277,9.503,,,,2.637,9.295
2014-12-25T07:00:00Z,23.235,13.279,9.512,,,,2.652,9.295
2014-12-25T08:00:00Z,23.301,13.282,9.548,,,,2.677,9.295
2014-12-25T09:00:00Z,23.365,13.285,9.591,,,,2.678,9.295
2014-12-25T10:00:00Z,23.43,13.287,9.6,,,,2.703,9.295
2014-12-25T11:00:00Z,23.497,13.29,9.635,,,,2.708,9.295
2014-12-25T12:00:00Z,23.563,13.292,9.678,,,,2.728,9.296
2014-12-25T13:00:00Z,23.635,13.294,9.689,,,,2.747,9.296
2014-12-25T14:00:00Z,23.707,13.297,9.723,,,,2.754,9.296
2014-12-25T15:00:00Z,23.778,13.3,9.765,,,,2.779,9.296
2014-12-25T16:00:00Z,23.842,13.302,9.779,,,,2.779,9.296
2014-12-25T17:00:00Z,23.908,13.305,9.81,,,,2.804,9.296
2014-12-25T18:00:00Z,23.974,13.307,9.853,,,,2.816,9.296
2014-12-25T19:00:00Z,24.041,13.31,9.868,,,,2.829,9.296
2014-12-25T20:00:00Z,24.11,13.312,9.897,,,,2.854,9.296
2014-12-25T21:00:00Z,24.178,13.315,9.94,,,,2.854,9.296
2014-12-25T22:00:00Z,24.247,13.318,9.957,,,,2.879,9.296
2014-12-25T23:00:00Z,24.315,13.32,9.985,,,,2.885,9.296
2014-12-26T00:00:00Z,24.39,13.323,10.028,,,,2.905,9.296
2014-12-26T01:00:00Z,24.459,13.325,10.046,,,,2.923,9.296
2014-12-26T02:00:00Z,24.533,13.328,10.073,,,,2.93,9.296
2014-12-26T03:00:00Z,24.602,13.33,10.115,,,,2.955,9.296
2014-12-26T04:00:00Z,24.675,13.333,10.136,,,,2.955,9.296
2014-12-26T05:00:00Z,24.748,13.336,10.16,,,,2.98,9.296
2014-12-26T06:00:00Z,24.822,13.338,10.203,,,,2.989,9.296
2014-12-26T07:00:00Z,24.896,13.341,10.224,,,,3.005,9.296
2014-12-26T08:00:00Z,24.969,13.343,10.248,,,,3.027,9.296
2014-12-26T09:00:00Z,25.04,13.345,10.29,,,,3.03,9.297
2014-12-26T10:00:00Z,25.11,13.348,10.313,,,,3.055,9.297
2014-12-26T11:00:00Z,25.182,13.351,10.335,,,,3.056,9.297
2014-12-26T12:00:00Z,25.255,13.353,10.378,,,,3.081,9.297
2014-12-26T13:00:00Z,25.333,13.356,10.405,,,,3.094,9.297
2014-12-26T14:00:00Z,25.411,13.358,10.423,,,,3.106,9.297
2014-12-26T15:00:00Z,25.488,13.361,10.465,,,,3.131,9.297
2014-12-26T16:00:00Z,25.558,13.363,10.494,,,,3.132,9.297
2014-12-26T17:00:00Z,25.629,13.366,10.51,,,,3.156,9.297
2014-12-26T18:00:00Z,25.701,13.369,10.553,,,,3.164,9.297
2014-12-26T19:00:00Z,25.772,13.371,10.583,,,,3.181,9.297
2014-12-26T20:00:00Z,25.844,13.374,10.597,,,,3.203,9.297
