utc_timestamp,DE_KN_residential1_dishwasher,DE_KN_residential1_freezer,DE_KN_residential1_grid_import,DE_KN_residential1_heat_pump,DE_KN_residential1_pv,DE_KN_residential1_washing_machine
2015-06-03T15:00:00Z,5.133,,180.173,62.266,573.557,3.81
2015-06-03T16:00:00Z,5.133,,180.782,62.725,574.451,3.81
2015-06-03T17:00:00Z,5.133,,181.378,63.115,575.09,3.81
2015-06-03T18:00:00Z,5.133,,181.878,63.865,575.256,3.81
2015-06-03T19:00:00Z,5.133,,182.483,64.436,575.256,3.81
2015-06-03T20:00:00Z,5.133,,182.977,65.265,575.256,3.81
2015-06-03T21:00:00Z,5.133,,183.343,65.814,575.256,3.811
2015-06-03T22:00:00Z,5.133,,183.722,66.436,575.256,3.811
2015-06-03T23:00:00Z,5.133,,184.037,66.445,575.256,3.811
2015-06-04T00:00:00Z,5.133,,184.383,66.465,575.256,3.811
2015-06-04T01:00:00Z,5.133,,184.713,66.475,575.256,3.811
2015-06-04T02:00:00Z,5.133,,185.042,66.494,575.256,3.811
2015-06-04T03:00:00Z,5.133,,185.423,66.955,575.281,3.811
2015-06-04T04:00:00Z,5.133,,185.843,68.605,575.641,3.811
2015-06-04T05:00:00Z,5.133,,186.292,69.564,576.43,3.811
2015-06-04T06:00:00Z,5.133,,186.708,69.584,578.766,3.811
2015-06-04T07:00:00Z,5.134,,187.573,69.6,583.83,3.811
2015-06-04T08:00:00Z,5.134,,188.523,69.814,589.646,3.811
2015-06-04T09:00:00Z,5.134,,189.548,69.834,596.297,3.811
2015-06-04T10:00:00Z,5.134,,190.248,69.844,603.617,3.884
2015-06-04T11:00:00Z,5.134,,190.733,69.855,610.895,4.211
2015-06-04T12:00:00Z,5.134,,191.157,69.865,617.57,4.293
2015-06-04T13:00:00Z,5.134,,191.562,69.885,623.672,4.297
2015-06-04T14:00:00Z,5.134,,191.978,69.895,628.5,4.299
2015-06-04T15:00:00Z,5.134,,192.363,69.904,631.535,4.299
2015-06-04T16:00:00Z,5.134,,192.733,69.914,632.682,4.3
2015-06-04T17:00:00Z,5.134,,193.153,69.936,632.941,4.3
2015-06-04T18:00:00Z,5.134,,193.557,70.295,633.006,4.3
2015-06-04T19:00:00Z,5.134,,194.023,70.645,633.006,4.3
2015-06-04T20:00:00Z,5.134,,194.913,71.004,633.006,4.3
2015-06-04T21:00:00Z,5.134,,195.387,71.385,633.006,4.3
2015-06-04T22:00:00Z,5.134,,195.728,71.705,633.006,4.3
2015-06-04T23:00:00Z,5.134,,196.057,71.725,633.006,4.3
2015-06-05T00:00:00Z,5.134,,196.387,71.734,633.006,4.3
2015-06-05T01:00:00Z,5.134,,196.713,71.744,633.006,4.3
2015-06-05T02:00:00Z,5.134,,197.042,71.766,633.006,4.3
2015-06-05T03:00:00Z,5.134,,197.387,71.895,633.021,4.3
2015-06-05T04:00:00Z,5.134,,197.768,72.865,633.33,4.3
2015-06-05T05:00:00Z,5.134,,198.182,72.885,634.492,4.3
2015-06-05T06:00:00Z,5.134,,198.628,72.895,637.718,4.3
2015-06-05T07:00:00Z,5.134,,200.542,72.904,642.76,4.3
2015-06-05T08:00:00Z,5.134,,201.532,72.924,649.245,4.3
2015-06-05T09:00:00Z,5.135,,202.592,72.936,655.896,4.3
2015-06-05T10:00:00Z,5.784,,203.282,72.945,663.216,4.3
2015-06-05T11:00:00Z,5.788,,203.753,72.955,670.493,4.301
2015-06-05T12:00:00Z,5.788,,204.188,72.975,677.169,4.301
2015-06-05T13:00:00Z,5.788,,204.582,72.984,683.271,4.301
2015-06-05T14:00:00Z,5.788,,204.988,72.994,688.099,4.301
2015-06-05T15:00:00Z,5.788,,205.343,73.01,691.134,4.301
2015-06-05T16:00:00Z,5.788,,205.727,73.025,692.28,4.301
2015-06-05T17:00:00Z,5.788,,206.202,73.035,692.54,4.301
